Month	Hsr
01-07-2007	208
01-08-2007	180
01-09-2007	157
01-10-2007	139
01-11-2007	124
01-12-2007	118
01-01-2008	115
01-02-2008	117
01-03-2008	117
01-04-2008	128
01-05-2008	127
01-06-2008	129
01-07-2008	112
01-08-2008	89
01-09-2008	64
01-10-2008	43
01-11-2008	42
01-12-2008	63
01-01-2009	58
01-02-2009	109
01-03-2009	142
01-04-2009	151
01-05-2009	145
01-06-2009	127
01-07-2009	108
01-08-2009	82
01-09-2009	58
01-10-2009	46
01-11-2009	50
01-12-2009	68
01-01-2010	224
01-02-2010	292
01-03-2010	317
01-04-2010	324
01-05-2010	321
01-06-2010	311
01-07-2010	292
01-08-2010	264
01-09-2010	241
01-10-2010	226
01-11-2010	231
01-12-2010	301
01-01-2011	324
01-02-2011	313
01-03-2011	296
01-04-2011	287
01-05-2011	269
01-06-2011	243
01-07-2011	223
01-08-2011	202
01-09-2011	174
01-10-2011	150
01-11-2011	149
01-12-2011	140
01-01-2012	129
01-02-2012	109
01-03-2012	95
01-04-2012	84
01-05-2012	76
01-06-2012	63
01-07-2012	38
01-08-2012	6
01-09-2012	-11
01-10-2012	-14
01-11-2012	39
01-12-2012	125
01-01-2013	166
01-02-2013	223
01-03-2013	263
01-04-2013	297
01-05-2013	297
01-06-2013	289
01-07-2013	260
01-08-2013	227
01-09-2013	204
01-10-2013	196
01-11-2013	201
01-12-2013	213
01-01-2014	224
01-02-2014	288
01-03-2014	321
01-04-2014	314
01-05-2014	299
01-06-2014	274
01-07-2014	256
01-08-2014	252
01-09-2014	291
01-10-2014	307
01-11-2014	306
01-12-2014	337
01-01-2015	339
01-02-2015	339
01-03-2015	339
01-04-2015	327
01-05-2015	313
01-06-2015	287
01-07-2015	257
01-08-2015	226
01-09-2015	200
01-10-2015	183
01-11-2015	178
01-12-2015	170
01-01-2016	185
01-02-2016	215
01-03-2016	269
01-04-2016	272
01-05-2016	264
01-06-2016	263
01-07-2016	241
01-08-2016	213
01-09-2016	190
01-10-2016	177
01-11-2016	186
01-12-2016	193
01-01-2017	178
01-02-2017	180
01-03-2017	195
01-04-2017	189
01-05-2017	178
01-06-2017	158
01-07-2017	133
01-08-2017	101
01-09-2017	91
01-10-2017	114
01-11-2017	139
01-12-2017	185
